Entity,Code,Year,Accumulated ocean plastic: Microplastics (<0.5cm)
Emissions growth to 2050,,2037,1457300
Emissions growth to 2050,,2038,1529300
Emissions growth to 2050,,2039,1604200
Emissions growth to 2050,,2040,1682100
Emissions growth to 2050,,2041,1763100
Emissions growth to 2050,,2042,1847300
Emissions growth to 2050,,2043,1934900
Emissions growth to 2050,,2044,2026000
Emissions growth to 2050,,2045,2120700
Emissions growth to 2050,,2046,2219100
Emissions growth to 2050,,2047,2321300
Emissions growth to 2050,,2048,2427600
Emissions growth to 2050,,2049,2538000
Emissions growth to 2050,,2050,2652700
Emissions level to 2020,,1950,0
Emissions level to 2020,,1951,0
Emissions level to 2020,,1952,0
Emissions level to 2020,,1953,0
Emissions level to 2020,,1954,100
Emissions level to 2020,,1955,100
Emissions level to 2020,,1956,200
Emissions level to 2020,,1957,200
Emissions level to 2020,,1958,300
Emissions level to 2020,,1959,400
Emissions level to 2020,,1960,600
Emissions level to 2020,,1961,700
Emissions level to 2020,,1962,900
Emissions level to 2020,,1963,1200
Emissions level to 2020,,1964,1500
Emissions level to 2020,,1965,1800
Emissions level to 2020,,1966,2200
Emissions level to 2020,,1967,2700
Emissions level to 2020,,1968,3300
Emissions level to 2020,,1969,3900
Emissions level to 2020,,1970,4700
Emissions level to 2020,,1971,5600
Emissions level to 2020,,1972,6600
Emissions level to 2020,,1973,7900
Emissions level to 2020,,1974,9300
Emissions level to 2020,,1975,10800
Emissions level to 2020,,1976,12600
Emissions level to 2020,,1977,14600
Emissions level to 2020,,1978,16800
Emissions level to 2020,,1979,19300
Emissions level to 2020,,1980,22000
Emissions level to 2020,,1981,25000
Emissions level to 2020,,1982,28200
Emissions level to 2020,,1983,31700
Emissions level to 2020,,1984,35600
Emissions level to 2020,,1985,39700
Emissions level to 2020,,1986,44200
Emissions level to 2020,,1987,49100
Emissions level to 2020,,1988,54300
Emissions level to 2020,,1989,59900
Emissions level to 2020,,1990,65900
Emissions level to 2020,,1991,72400
Emissions level to 2020,,1992,79300
Emissions level to 2020,,1993,86800
Emissions level to 2020,,1994,94700
Emissions level to 2020,,1995,103100
Emissions level to 2020,,1996,112100
Emissions level to 2020,,1997,121700
Emissions level to 2020,,1998,132000
Emissions level to 2020,,1999,142900
Emissions level to 2020,,2000,154500
Emissions level to 2020,,2001,166900
Emissions level to 2020,,2002,180100
Emissions level to 2020,,2003,194100
Emissions level to 2020,,2004,209000
Emissions level to 2020,,2005,224700
Emissions level to 2020,,2006,241400
Emissions level to 2020,,2007,259200
Emissions level to 2020,,2008,277900
Emissions level to 2020,,2009,297700
Emissions level to 2020,,2010,318500
Emissions level to 2020,,2011,340400
Emissions level to 2020,,2012,363400
Emissions level to 2020,,2013,387600
Emissions level to 2020,,2014,413100
Emissions level to 2020,,2015,439800
Emissions level to 2020,,2016,467800
Emissions level to 2020,,2017,497200
Emissions level to 2020,,2018,528000
Emissions level to 2020,,2019,560200
Emissions level to 2020,,2020,594000
Emissions level to 2020,,2021,629300
Emissions level to 2020,,2022,666200
Emissions level to 2020,,2023,704700
Emissions level to 2020,,2024,744700
Emissions level to 2020,,2025,786300
Emissions level to 2020,,2026,829400
Emissions level to 2020,,2027,874000
Emissions level to 2020,,2028,920200
Emissions level to 2020,,2029,967800
Emissions level to 2020,,2030,1016900
Emissions level to 2020,,2031,1067400
Emissions level to 2020,,2032,1119400
Emissions level to 2020,,2033,1172800
Emissions level to 2020,,2034,1227500
Emissions level to 2020,,2035,1283700
Emissions level to 2020,,2036,1341100
Emissions level to 2020,,2037,1400000
Emissions level to 2020,,2038,1460100
Emissions level to 2020,,2039,1521500
Emissions level to 2020,,2040,1584100
Emissions level to 2020,,2041,1648000
Emissions level to 2020,,2042,1713200
Emissions level to 2020,,2043,1779500
Emissions level to 2020,,2044,1847000
Emissions level to 2020,,2045,1915700
Emissions level to 2020,,2046,1985500
Emissions level to 2020,,2047,2056500
Emissions level to 2020,,2048,2128600
Emissions level to 2020,,2049,2201800
Emissions level to 2020,,2050,2276000
Emissions stop in 2020,,1950,0
Emissions stop in 2020,,1951,0
Emissions stop in 2020,,1952,0
Emissions stop in 2020,,1953,0
Emissions stop in 2020,,1954,100
Emissions stop in 2020,,1955,100
Emissions stop in 2020,,1956,200
Emissions stop in 2020,,1957,200
Emissions stop in 2020,,1958,300
Emissions stop in 2020,,1959,400
Emissions stop in 2020,,1960,600
Emissions stop in 2020,,1961,700
Emissions stop in 2020,,1962,900
Emissions stop in 2020,,1963,1200
Emissions stop in 2020,,1964,1500
Emissions stop in 2020,,1965,1800
Emissions stop in 2020,,1966,2200
Emissions stop in 2020,,1967,2700
Emissions stop in 2020,,1968,3300
Emissions stop in 2020,,1969,3900
Emissions stop in 2020,,1970,4700
Emissions stop in 2020,,1971,5600
Emissions stop in 2020,,1972,6600
Emissions stop in 2020,,1973,7900
Emissions stop in 2020,,1974,9300
Emissions stop in 2020,,1975,10800
Emissions stop in 2020,,1976,12600
Emissions stop in 2020,,1977,14600
Emissions stop in 2020,,1978,16800
Emissions stop in 2020,,1979,19300
Emissions stop in 2020,,1980,22000
Emissions stop in 2020,,1981,25000
Emissions stop in 2020,,1982,28200
Emissions stop in 2020,,1983,31700
Emissions stop in 2020,,1984,35600
Emissions stop in 2020,,1985,39700
Emissions stop in 2020,,1986,44200
Emissions stop in 2020,,1987,49100
Emissions stop in 2020,,1988,54300
Emissions stop in 2020,,1989,59900
Emissions stop in 2020,,1990,65900
Emissions stop in 2020,,1991,72400
Emissions stop in 2020,,1992,79300
Emissions stop in 2020,,1993,86800
Emissions stop in 2020,,1994,94700
Emissions stop in 2020,,1995,103100
Emissions stop in 2020,,1996,112100
Emissions stop in 2020,,1997,121700
Emissions stop in 2020,,1998,132000
Emissions stop in 2020,,1999,142900
Emissions stop in 2020,,2000,154500
Emissions stop in 2020,,2001,166900
Emissions stop in 2020,,2002,180100
Emissions stop in 2020,,2003,194100
Emissions stop in 2020,,2004,209000
Emissions stop in 2020,,2005,224700
Emissions stop in 2020,,2006,241400
Emissions stop in 2020,,2007,259200
Emissions stop in 2020,,2008,277900
Emissions stop in 2020,,2009,297700
Emissions stop in 2020,,2010,318500
Emissions stop in 2020,,2011,340400
Emissions stop in 2020,,2012,363400
Emissions stop in 2020,,2013,387600
Emissions stop in 2020,,2014,413100
Emissions stop in 2020,,2015,439800
Emissions stop in 2020,,2016,467800
Emissions stop in 2020,,2017,497200
Emissions stop in 2020,,2018,528000
Emissions stop in 2020,,2019,560200
Emissions stop in 2020,,2020,594000
Emissions stop in 2020,,2021,628100
Emissions stop in 2020,,2022,662300
Emissions stop in 2020,,2023,696600
Emissions stop in 2020,,2024,730600
Emissions stop in 2020,,2025,764500
Emissions stop in 2020,,2026,798000
Emissions stop in 2020,,2027,831100
Emissions stop in 2020,,2028,863800
Emissions stop in 2020,,2029,896100
Emissions stop in 2020,,2030,928000
Emissions stop in 2020,,2031,959500
Emissions stop in 2020,,2032,990600
Emissions stop in 2020,,2033,1021200
Emissions stop in 2020,,2034,1051400
Emissions stop in 2020,,2035,1081200
Emissions stop in 2020,,2036,1110500
Emissions stop in 2020,,2037,1139300
Emissions stop in 2020,,2038,1167700
Emissions stop in 2020,,2039,1195700
Emissions stop in 2020,,2040,1223300
Emissions stop in 2020,,2041,1250400
Emissions stop in 2020,,2042,1277100
Emissions stop in 2020,,2043,1303500
Emissions stop in 2020,,2044,1329400
Emissions stop in 2020,,2045,1355000
Emissions stop in 2020,,2046,1380100
Emissions stop in 2020,,2047,1405000
Emissions stop in 2020,,2048,1429400
Emissions stop in 2020,,2049,1453500
Emissions stop in 2020,,2050,1477200
